Source.Name;ID;Date time;Details;Region;Pers.Komp;Pers.Komp.Value;Forstaa;Forstaa.Value;Erfaring;Erfaring.Value;Rest
00031-1805634.txt;1805634;12-11-2021 15:52;Digital Marketing Koordinator;sydjylland;1;Har gode kommunikationsevner. Kan arbejde selvmotiverende;0;;1;Har erfaring i brug af InDesign, Illustrator og Photoshop. Erfaring med SEO;Så brænder du for online marketing? Kan du skabe digitale kampagner med målbar effekt og konverteringer? Har du flair for at arbejde med content og sociale medier? Så har vi jobbet til dig!   Du skal være med til at løfte vores digitale salgs- og marketingaktiviteter for vores forskellige brands, samt tiltrække nye kunder.  Dine primære opgaver vil være:  Udbygge og vedligeholde content på Vestfrost-hjemmesiden Content til SoMe Opdatering og vedligeholdelse af datablade samt brochure Content til cases Relevant markedsføringsmateriale såsom billede, video, messemateriale m.m.   Med en ny og moderniseret hjemmeside føler vi, at alt vores content på hjemmesiden, samt fysisk materiale også skal følge med.  Vi forventer, at du:  Har en relevant professionsbachelor i e-handel, er multimediedesigner, markedsføringsøkonom eller grafisk uddannet Har erfaring i brug af InDesign, Illustrator og Photoshop Har gode kommunikationsevner. Kan arbejde selvmotiverende Er fejlfri på skriftlig dansk og engelsk Erfaring med SEO. Det er ikke et krav, men en fordel .                                         
00032-756524.txt;756524;31-08-2019 22:26;Støtteperson / Mentor;fyn;0;;0;;0;;Planlægning - fx ugeplan og læseplan. Støtte til at få skabt struktur omkring hverdagen på studiet • Vejledning – fx i forhold til opgaveskrivning og studieteknik • Støtte til at opnå overblik over deadlines, afleveringer, undervisning m.m.   Der er bevilliget i alt 20 timer til og med den 31. december 2019. I mødes ca. en gang om ugen efter aftale og behov.   Hvis du er interesseret i stillingen, bedes du sende en personlig ansøgning indeholdende.
00033-321357.txt;321357;21-12-2018 02:45;WordPress og online markedsføring;region-midtjylland;0;;0;;0;;Vi har rigtig travlt med at hjælpe vores kunder og har derfor brug for en fuldtidsansat til WordPress og online markedsføring som tilføjelse i vores team. Stillingen er nyoprettet.   Dine arbejdsopgaver:WordPress installationer og plugins – Nye sider og vedligeholdelse  Kendskab til CSS, og IKKE nødvendigvis webdesign, vi er dækket godt ind med dygtige designere Onpage SEO optimering i WordPress Teknikken i forhold til Facebook og LinkedIn annonceringskampagner Teknikken i Adwords kampagner - Remarketing osv Domæner, DNS, hosting, SSL og alt det rigtig sjove. Kundekontakt Support      Hvem er du: Du skal kunne se det spændende i, at blive en del af et lille team og med muligheden for at arbejde tæt på beslutningerne. I dagligdagen vil du skulle arbejde tæt sammen med en WordPress/SEO ekspert, en Branding/markedsførings strateg, en Mediegrafiker, en multimediedesigner/konceptudvikler og en tekstforfatter. Desuden vil du have direkte kundekontakt. Du skal brænde for at lave gode og simple løsninger for vores kunder. Vi leder efter en glad kollega med humor, der brænder for tekniske udfordringer og værdsætter, at blive en del af et team hvor vi sammen skaber smarte løsninger i et lækkert design, som er tilpasset vores kunder og deres målgrupper.   Din profil:   Du skal kunne se dig selv som en del af et ungt team, hvor vi hver især bidrager med vores kompetencer og løser opgaverne i fællesskab. Du sætter pris på og sørger for, at de tekniske opgaver bliver produceret til tiden Hvis ikke du allerede er Adwords certificeret, skal du have lysten til at blive det. Du brænder for at arbejde med tekniske problemløsninger i WordPress og kode Ser det som en selvfølge at yde høj service og kvalitet til kunderne nyuddannet eller selvlært.                           
00034-1720508.txt;1720508;09-08-2021 22:30;Erfaren og initiativrig multimediedesigner søges;storkoebenhavn;1;Du tager ansvar for dine projekter og følger altid dine opgaver til dørs;0;Du har en grundlæggende viden om e-commerce, web og B2C-marketing med fokus på den gode brugeroplevelse;0;Du har solid erfaring med idéudvikling, grafisk design og meget gerne websites fra en lignende stilling. Du er en erfaren bruger af Creative Suite og har styr på Adobe Photoshop, - InDesign, - Illustrator, - After Effects, - Premiere Pro, - Audition, - XD (Experience Design);Erfaren og initiativrig multimediedesigner søges. Har du fingeren på den æstetiske, kreative og kommercielle puls? Kan du tænke i kunderejser og se langt ud i den digitale horisont? Kan du gribe opgaverne i luften og drible dem sikkert i mål? Så vil vi gerne høre fra dig hos Klasselotteriet. Vi søger en multimediedesigner med erfaring og drive, som kan og vil sætte sit præg på Klasselotteriets identitet og vores kommunikation på tværs af platforme.   Vil du være med til at sætte kursen for Klasselotteriet?  Vi ønsker os en stilsikker multimediedesigner, som brænder for design og kan forene tekst, lyd, grafik, animation og video i indhold, der skiller Klasselotteriet ud fra mængden. Samtidig skal vores nye kreative kollega være med til at udvikle Klasselotteriets brand, så Danmarks ældste lotteri kan vokse med fornyet styrke.   Er du dygtig til at bruge hele den digitale multimedieværktøjskasse, og kan du tage ejerskab på dine opgaver, så har vi en virkelig spændende stilling til dig. Du får både indflydelse og frihed til at være kreativ og proaktiv i en virksomhed, som ikke er bange for at gå nye veje både teknologisk, visuelt og grafisk. 
00035-519566.txt;519566;02-04-2019 23:05;Grafiker med kreativ snilde;region-midtjylland;1;Vi forventer, at du som person er selvledende, kreativ, fleksibel og indstillet på at arbejde i et travlt miljø.;0;;0;;Grafiker med kreativ snilde. Motiveres du af selvstændige opgaver og faglige udfordringer? Trives du i et ambitiøst og tværfagligt miljø? Tør du lade os udfordre din kreativitet? Hos Scan-Plast er vi i gang med at udvide vores marketingafdeling i takt med virksomhedens vækst, både på nationalt og internationalt plan. I den forbindelse leder vi efter en detaljeorienteret grafiker, der skal indgå i det nuværende team og videreføre den kreativitet og kvalitet, som kendetegner virksomheden. Vi ser gerne at du arbejder ud fra et digitalt mindset, hvor opbygning og udsendelse af nyhedsbreve, AdWords og SEO er en naturlig del af din tankegang. Dine opgaver som grafiker bliver bl.a. at:  Producere, tilrettelægge og opsætte bl.a. vejledninger, datablade og infoark grafisk. Rentegne og levere trykklare produktionsfiler. Udarbejde illustrationer. Planlægge og opsætte nyhedsbreve. Tage del i afdelingen og virksomhedens ad-hoc opgaver.   Vi forestiller os, at du er uddannet grafisk designer, designteknolog, multimediedesigner eller tilsvarende, og at du derudover er rutineret bruger af CC Pakken (Photoshop, Illustrator og InDesign), CMS systemet (f.eks. Wordpress) og evt. e-mailmarketingsklienter som Mailchimp og Mailerlite. Vi forventer, at du som person er selvledende, kreativ, fleksibel og indstillet på at arbejde i et travlt miljø. Derudover er det en fordel, hvis du er resultatorienteret og forstår at overholde deadlines. Vi er i konstant udvikling, så hvis personlig og faglig udvikling har stor betydning for dig, så vil vi gerne have dig med på vores rejse. Løn efter kvalifikationer.               
00036-1343961.txt;1343961;17-10-2020 00:00;Multimediedesigner – grafik/foto/video 37 timer ugentligt;region-midtjylland;0;;0;;0;;Multimediedesigner – grafik/foto/video 37 timer ugentligt Til dynamisk webshop i Brabrand søger vi snarest muligt en multimediedesigner med speciale i grafik, foto og video. Det er en fuldtidsstilling man-fre 8-16 (15:30) Hvad forventer vi af dig?         - Du har en uddannelse som multimediedesigner el. - Du har en stor passion for udarbejdelse af kreative præsentationer til brug på webshop og sociale medier. - Du er vant til at arbejder med deadlines og trives i et ungt, kreativt miljø med en høj frihedsgrad. - Du er vant til at arbejde i Windows med Adobe-programmer - Du taler og skriver dansk flydende.   Hvad er dine opgaver?             - Produktfotografering/videooptagelse og efterbehandling af disse - Udarbejdelse af grafik, præsentationer ol. - Forfatning af tekster og produktbeskrivelser - Forefaldende arbejde relateret til disse områder Hvem er vi?  Cotonshoppen.dk er danmarks største webshop med udstyr og tilbehør til hunde. Vi har til huse centralt i den ældre del af Brabrand, og har eksisteret i 13 år. Vi er i konstant vækst, og tæller i dag 15 kolleger i alderen 20-50 år Arbejdsmiljøet er uformelt og entusiastisk med høj en grad at teamspirit. Ansøgning:       Er du interesseret? Send hurtigst muligt en ansøgning til: j med emne:
00037-796625.txt;796625;25-09-2019 23:29;Digital designer med solid UX-/UI-erfaring;region-midtjylland;0;;0;;0;Digital designer med solid UX/UI erfaring. Erfaring med Atomic Design og anvendelse af Patternlab til håndtering af designsystem;Digital designer med solid UX/UI erfaring   Ansøgningsfrist: 11-10-2019. Har du solid UX/UI erfaring og har du lyst til at indgå i et nyt webteam, der skal udvikle Det Kgl. Biblioteks nye digitale identitet, så kan vi tilbyde et job, hvor du kommer til at gøre en stor forskel. Du skal være visuelt stærk, systematisk og i stand til at omsætte designs til suveræne brugeroplevelser. Vi er lige nu meget optaget af at udforme bibliotekets nye hjemmeside, som vil blive foldet ud i takt med, at vi omlægger eksisterende content og sites.  Biblioteket er i gang med at udskifte og udvikle centrale forretningssystemer, og der er derfor tryk på, når det handler om at udforme designløsninger på tværs af mange brugerrejser. Biblioteket har brug for en designer, som kritisk og konstruktivt kan udfordre bibliotekets selvforståelse og som samtidig kan formidle og visualisere digitalt design.  Dine opgaver:  Ansvar for opbygning af bibliotekets nye designsystem, herunder interaktionsdesign på kb.dk Udvikling af design og identitet på bibliotekets andre digitale platforme Vedligehold på diverse platforme Bidrag til wireframing, mock-ups og prototyping i tværgående udviklings- og projektteams.  Det du kan:  Relevant uddannelsesmæssig baggrund som fx digital designer eller multimediedesigner UI/UX erfaring og metodekendskab.
00038-533040.txt;533040;09-04-2019 23:50;Grafisk Design / Visuel Kommunikation;storkoebenhavn;1;Du har drive, og passion for kvalitet. Du er god til at tænke ud af boksen, er ambitiøst og kreativt tænkende;0;;0;Du har erfaring med udarbejdelse af grafiske elementer, photoshop mm;Vi er enormt stolte af vores produkter, og ikke mindst den værdi vi skaber for vores kunder. KeywordsGrafisk designGraphic DesignVisual kommunikationvisual communicationShare this job Scratcher.io søger praktikant til grafisk design og visuel kommunikation Vi søger en der har lyst til at indgå i vores kreative team på Nørrebro i København. Så er du i gang med at uddanne dig til multimediedesigner eller anden relevant uddannelse, og står du og mangler en praktikplads - så har vi pladsen til dig. Som praktikant hos Scratcher vil du få indblik i, hvordan det er at arbejde med grafisk design i en uformel virksomhed med højt til loftet.  Brænder du for at skabe og fremstille ny grafik, kan finde på kreative løsninger, har en stærk strategisk sans og kan samtidig arbejde selvstændigt, er du den, vi har brug for i vores team i Scratcher! Vi tilbyder en spændende praktikplads i en virksomhed i vækst, hvor du vil komme helt tæt på alt indenfor grafisk design i gamification, hvilket anses som værende fremtidens marketing.    Hvem er du?  Du har en lyst til at afprøve og videreudvikle dine mange kompetencer - Dette i en opgave hvor du virkelig kan sætte dit præg på det samlede resultat Du er i gang med en relevant uddannelse inden for grafisk design eller kommunikation Du har erfaring med udarbejdelse af grafiske elementer, photoshop mm  Du har drive, og passion for kvalitet Du er god til at tænke ud af boksen, er ambitiøst og kreativt tænkende     Hvad er opgaverne?   Stor deltagelse i udarbejdelse af ny/opdateret visuel identitet for Scratcher - Herunder for hjemmesiden/PR/grafisk spil opbygning Udarbejdelse af diverse grafiske elementer og logoer til hjemmeside, nyhedsbreve og sociale medier At hjælpe vores kunder med grafisk input til deres spil Arbejde internt med vores præsentationer. Forbedre vores kunders grafiske oplevelse af Scratcher  
00039-1429905.txt;1429905;08-12-2020 02:02;Adjunkt/lektor til UX og indholdsproduktion;region-nordjylland;0;;0;;0;;Adjunkt/lektor til UX og indholdsproduktion. Vi søger en kollega, som brænder for sit fag, såvel som arbejdet med de studerendes læring. Du vil indgå i et team med kompetente kollegaer, hvor I samarbejder om læringsaktiviteter og sikrer rammerne for et godt studiemiljø. Det er derfor vigtigt, at du er en teamplayer, og at du medvirker og tager initiativer til pædagogisk og faglig fornyelse. Du skal have stærke relationelle kompetencer, kunne kommunikere tydeligt og evne at sætte den studerendes læring i højsæde.  Vi har tæt samarbejde med erhvervslivet, og er derfor på forkant med udviklingen i erhvervet, så vores studerende har de bedste jobmuligheder efter endt studium. Vi forventer, at du via dit netværk i erhvervslivet kan være med til at fremtidssikre uddannelserne og skabe vækst og udvikling i lokalområdet. På samme vis prioriteres forsknings- og udviklingsprojekter, hvor du gennem din involvering både udvikler egne og de studerendes kompetencer samt bidrager til udvikling og vækst i den syddanske region.  Din baggrund  Du har en videregående uddannelse med hovedvægt inden for digitalt indhold og kommunikation, f.eks. cand.it i webkommunikation eller kandidat i interaktionsdesign. Hvis du har en bacheloruddannelse, skal du forvente at læse en masteruddannelse.  Du er faglig velfunderet teoretisk og praktisk inden for fagområderne: digital brugeroplevelse, indholdsproduktion og kommunikation.  Det er en fordel, hvis du har kendskab til informationsarkitektur, dataanalyse, Adobe-pakken, SoMe og projektledelse.      
00040-1748909.txt;1748909;06-09-2021 22:51;Erfaren designer til Københavns Kommune;storkoebenhavn;1;er engageret, har god energi og er en god kollega;0;;0;mindst fire-fem års erfaring fra branchen, hvor du har opbygget en solid faglighed. og gerne erfaring med video, animation og SoMe;Erfaren designer til Københavns Kommune  Københavns Kommune. Er du en stærk konceptuel grafisk designer med styr på dit håndværk og et godt øje for visuelle og digitale tendenser? Så er du måske vores nye kollega i KK Design på Københavns Rådhus.  Grafisk design er ofte en af de vigtige brikker, når der skal sikres professionel, klar og vedkommende kommunikation til københavnerne. Lige nu mangler vi en dygtig erfaren designer på holdet i KK Design, som med høj faglighed kan hjælpe med at løse de mange opgaver og løfte vores design videre.  Om jobbet KK Design er ansvarlig for Københavns Kommunes grafiske designlinje og løser grafiske opgaver for næsten alle forvaltninger. Teamet fungerer på den måde som kommunens interne designbureau.  Vores vision er at styrke og optimere Københavns Kommunes samlede brand, sørge for en rød tråd i den visuelle kommunikation og selvfølgelig understøtte en stærk kommunikation i hverdagen.  Som en del af teamet er du med til at udvikle essentielle produkter til københavnernes dagligdag, fordi vi laver visuel kommunikation om alt fra folkeskoler og demens til corona, kommuneplaner og Tour de France. Dine opgaver spænder fra udvikling af kampagner til design af identiteter, rapporter, byrumsplakater og digital kommunikation til daglig hands on-produktion. Du vil som erfaren designer komme omkring de fleste opgavetyper.  Vi har et stærkt fagligt fællesskab, som består af dygtige, engagerede kolleger med bred erfaring fra designbureauer, selvstændig virksomhed og internt fra kommunen. Mange har brug for vores assistance, så der er ofte fart over feltet.  Om dig Vi ser gerne, at du:  har en kandidat fra en af landets design- eller arkitektskoler og mindst fire-fem års erfaring fra branchen, hvor du har opbygget en solid faglighed og trives med både drift- og udviklingsopgaver - små som store er stærk i hele designprocessen fra idéudvikling over tilpasning af det stærke, præcise koncept til visuel eksekvering via smukt og klogt design - og gerne erfaring med video, animation og SoMe generelt kan have en faglig stærk dialog i proces og præsentationer for kunder sætter en ære i at levere høj kvalitet inden for aftalte deadline - og ser feedback og sparring som en naturlig del af vejen dertil ser god service som et absolut must i hverdagen - også når der er meget at se til eller forskellige perspektiver på tingene er engageret, har god energi og er en god kollega.        
